gender,2. Current Level of Study,department,cgpa_range,parent_edu,financial_challenge,tech_access,infra_disruption,lecture_attendance,assignment_submission,study_hours,study_schedule,procrastination,peer_academic_focus,course_difficulty,distraction,stress_anxiety,missed_assessments,carryover_courses,academic_probation,considered_withdrawal,self_perf_rating,part_time_work,"24. If yes, approximately how many hours do you work per week?",extracurricular,willing_intervention,gender_code,cgpa_mid,financial_challenge_num,tech_access_num,infra_disruption_num,lecture_attendance_num,assignment_submission_num,procrastination_num,peer_academic_focus_num,course_difficulty_num,distraction_num,stress_anxiety_num,missed_assessments_num,study_hours_num,study_schedule_num,carryover_num,self_perf_num,parent_edu_bin,academic_probation_bin,considered_withdrawal_bin,part_time_work_bin,extracurricular_bin,willing_intervention_bin,faculty_code,risk_tier,work_hours_num,attendance_norm,submission_norm,study_hours_norm,schedule_norm,missed_norm,academic_engagement_score,financial_stress,tech_stress,infra_stress,work_stress,socioeconomic_stress,procrastination_risk,distraction_risk,stress_risk,behavioral_risk_score
Male,400 Level,Wma ,3.50 – 4.49,Yes,Neutral,Agree,Disagree,Agree,Neutral,3 – 4 hours,Sometimes,Agree,Agree,Neutral,Neutral,Neutral,Disagree,1 – 2,No,Yes,Very Good,No,Not Applicable,No,Yes,1,4.0,3,4,2,4,3,4,4,3,3,3,2,,3,0.0,4,1,0,1,0,0,1,0,0,0.0,0.8,0.6,,0.6,0.6,0.65,0.6,0.19999999999999996,0.4,0.0,0.3,0.8,0.6,0.6,0.6666666666666666
Female,400 Level,EMT ,2.40 – 3.49,Yes,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Less than 1 hour,Always,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,More than 4,No,No,Very Good,Yes,11 – 20 hours,Yes,No,0,2.95,3,1,5,5,4,1,5,5,1,1,1,0.5,5,5.0,4,1,0,0,1,1,0,1,2,0.0,1.0,0.8,0.07142857142857142,1.0,0.8,0.7342857142857143,0.6,0.8,1.0,0.0,0.6,0.2,0.2,0.2,0.20000000000000004
Male,200 Level,ELE,2.40 – 3.49,Yes,Agree,Disagree,Agree,Agree,Neutral,1 – 2 hours,Rarely,Agree,Agree,Neutral,Neutral,Neutral,Disagree,,No,No,Fair,No,Not Applicable,Yes,No,1,2.95,4,2,4,4,3,4,4,3,3,3,2,,2,0.0,2,1,0,0,0,1,0,2,1,0.0,0.8,0.6,,0.4,0.6,0.6,0.8,0.6,0.8,0.0,0.55,0.8,0.6,0.6,0.6666666666666666
Male,300 Level,Data Science ,2.40 – 3.49,No,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,3 – 4 hours,Often,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,,No,No,Fair,No,Not Applicable,Yes,Yes,1,2.95,5,4,5,3,4,3,4,3,3,3,2,,4,0.0,2,0,0,0,0,1,1,3,1,0.0,0.6,0.8,,0.8,0.6,0.7000000000000001,1.0,0.19999999999999996,1.0,0.0,0.55,0.6,0.6,0.6,0.6
Female,200 Level,Computer science ,3.50 – 4.49,Yes,Strongly Agree,Agree,Agree,Disagree,Agree,Less than 1 hour,Sometimes,Agree,Neutral,Agree,Agree,Agree,Disagree,,No,No,Good,Yes,5 – 10 hours,Yes,Yes,0,4.0,5,4,4,2,4,4,3,4,4,4,2,0.5,3,0.0,3,1,0,0,1,1,1,4,0,0.0,0.4,0.8,0.07142857142857142,0.6,0.6,0.49428571428571433,1.0,0.19999999999999996,0.8,0.0,0.5,0.8,0.8,0.8,0.8000000000000002
Male,200 Level,Computer Science ,3.50 – 4.49,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Less than 1 hour,Never,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,,No,No,Very Good,No,Not Applicable,No,No,1,4.0,5,4,5,4,5,4,4,3,5,4,2,0.5,1,0.0,4,1,0,0,0,0,0,5,0,0.0,0.8,1.0,0.07142857142857142,0.2,0.6,0.5342857142857144,1.0,0.19999999999999996,1.0,0.0,0.55,0.8,1.0,0.8,0.8666666666666667
Female,200 Level,Software engineering,4.50 – 5.00,Yes,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,3 – 4 hours,Never,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,,No,No,Very Good,No,Not Applicable,Yes,Yes,0,4.75,2,5,4,5,4,4,4,3,4,4,1,,1,0.0,4,1,0,0,0,1,1,6,0,0.0,1.0,0.8,,0.2,0.8,0.7,0.4,0.0,0.8,0.0,0.30000000000000004,0.8,0.8,0.8,0.8000000000000002
Male,200 Level,ICT ,3.50 – 4.49,Yes,Neutral,Disagree,Strongly Agree,Agree,Agree,Less than 1 hour,Sometimes,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,,No,No,Good,No,Not Applicable,Yes,Yes,1,4.0,3,2,5,4,4,2,4,2,5,2,2,0.5,3,0.0,3,1,0,0,0,1,1,7,0,0.0,0.8,0.8,0.07142857142857142,0.6,0.6,0.5742857142857143,0.6,0.6,1.0,0.0,0.55,0.4,1.0,0.4,0.6
Female,200 Level,PAB ,2.40 – 3.49,Yes,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3 – 4 hours,Rarely,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,,No,No,Good,No,Not Applicable,No,Yes,0,2.95,3,4,5,5,5,4,5,5,4,4,1,,2,0.0,3,1,0,0,0,0,1,8,1,0.0,1.0,1.0,,0.4,0.8,0.8,0.6,0.19999999999999996,1.0,0.0,0.44999999999999996,0.8,0.8,0.8,0.8000000000000002
Male,400 Level,Computer science ,3.50 – 4.49,Yes,Agree,Agree,Agree,Agree,Agree,3 – 4 hours,Often,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,,No,No,Excellent,Yes,More than 30 hours,Yes,Yes,1,4.0,4,4,4,4,4,2,3,2,3,3,2,,4,0.0,5,1,0,0,1,1,1,4,0,35.0,0.8,0.8,,0.8,0.6,0.7500000000000001,0.8,0.19999999999999996,0.8,0.875,0.66875,0.4,0.6,0.6,0.5333333333333333
Male,300 Level,Computer Science ,3.50 – 4.49,Yes,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,1 – 2 hours,Rarely,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,,No,No,Very Good,No,Not Applicable,Yes,Yes,1,4.0,3,5,5,3,4,2,5,2,4,2,1,,2,0.0,4,1,0,0,0,1,1,5,0,0.0,0.6,0.8,,0.4,0.8,0.6499999999999999,0.6,0.0,1.0,0.0,0.4,0.4,0.8,0.4,0.5333333333333333
Male,200 Level,Information technology ,Below 1.50,Yes,Neutral,Disagree,Disagree,Strongly Agree,Neutral,1 – 2 hours,Sometimes,Agree,Disagree,Neutral,Agree,Agree,Disagree,More than 4,Yes,Yes,Poor,Yes,5 – 10 hours,No,Yes,1,1.0,3,2,2,5,3,4,2,3,4,4,2,,3,5.0,1,1,1,1,1,0,1,9,2,0.0,1.0,0.6,,0.6,0.6,0.7000000000000001,0.6,0.6,0.4,0.0,0.4,0.8,0.8,0.8,0.8000000000000002
Male,300 Level,Computer Science ,2.40 – 3.49,Yes,Strongly Agree,Neutral,Disagree,Agree,Agree,1 – 2 hours,Rarely,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,,No,No,Good,No,Not Applicable,No,Yes,1,2.95,5,3,2,4,4,4,4,3,4,2,1,,2,0.0,3,1,0,0,0,0,1,5,1,0.0,0.8,0.8,,0.4,0.8,0.7,1.0,0.4,0.4,0.0,0.44999999999999996,0.8,0.8,0.4,0.6666666666666666
Female,200 Level,Microbiology ,3.50 – 4.49,No,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,3 – 4 hours,Often,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,,No,No,Good,Yes,21 – 30 hours,Yes,Yes,0,4.0,5,2,5,3,5,4,5,3,2,5,2,,4,0.0,3,0,0,0,1,1,1,0,0,0.0,0.6,1.0,,0.8,0.6,0.7500000000000001,1.0,0.6,1.0,0.0,0.65,0.8,0.4,1.0,0.7333333333333334
Female,200 Level,ift,1.50 – 2.39,Yes,Agree,Agree,Neutral,Disagree,Disagree,3 – 4 hours,Rarely,Neutral,Neutral,Disagree,Agree,Disagree,Agree,,No,Yes,Fair,No,Not Applicable,No,No,0,1.95,4,4,3,2,2,3,3,2,4,2,4,,2,0.0,2,1,0,1,0,0,0,1,2,0.0,0.4,0.4,,0.4,0.19999999999999996,0.35000000000000003,0.8,0.19999999999999996,0.6,0.0,0.4,0.6,0.8,0.4,0.6
